"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-11-01 00:00","2017","11","01","00:00","-2.5","","-4.3","","87","","12","","21","","9.7","","93.05","","","","-9","","Snow"
"2017-11-01 01:00","2017","11","01","01:00","-2.9","","-4.5","","89","","11","","18","","12.9","","93.01","","","","-9","","Snow"
"2017-11-01 02:00","2017","11","01","02:00","-3.3","","-4.5","","91","","11","","21","","3.2","","92.94","","","","-10","","Snow"
"2017-11-01 03:00","2017","11","01","03:00","-3.3","","-4.7","","90","","11","","18","","9.7","","92.95","","","","-9","","Snow"
"2017-11-01 04:00","2017","11","01","04:00","-3.2","","-4.9","","88","","10","","22","","9.7","","92.93","","","","-10","","Snow,Blowing Snow"
"2017-11-01 05:00","2017","11","01","05:00","-3.4","","-5.1","","88","","10","","23","","4.8","","92.92","","","","-10","","Snow,Blowing Snow"
"2017-11-01 06:00","2017","11","01","06:00","-3.3","","-4.4","","92","","10","","20","","1.6","","92.95","","","","-9","","Snow,Blowing Snow"
"2017-11-01 07:00","2017","11","01","07:00","-3.9","","-5.0","","92","","9","","22","","2.0","","92.98","","","","-10","","Snow,Blowing Snow"
"2017-11-01 08:00","2017","11","01","08:00","-4.1","","-5.3","","92","","8","","23","","1.6","","93.04","","","","-11","","Snow,Blowing Snow"
"2017-11-01 09:00","2017","11","01","09:00","-4.1","","-5.6","","89","","7","","24","","1.6","","93.15","","","","-11","","Snow,Blowing Snow"
"2017-11-01 10:00","2017","11","01","10:00","-3.7","","-5.6","","87","","7","","29","","2.4","","93.24","","","","-11","","Snow,Blowing Snow"
"2017-11-01 11:00","2017","11","01","11:00","-3.8","","-5.5","","88","","6","","31","","1.6","","93.31","","","","-12","","Snow,Blowing Snow"
"2017-11-01 12:00","2017","11","01","12:00","-3.5","","-5.6","","85","","6","","28","","3.2","","93.40","","","","-11","","Snow,Blowing Snow"
"2017-11-01 13:00","2017","11","01","13:00","-2.6","","-5.2","","82","","5","","26","","4.8","","93.47","","","","-9","","Snow,Blowing Snow"
"2017-11-01 14:00","2017","11","01","14:00","-1.9","","-5.1","","79","","4","","27","","12.9","","93.58","","","","-9","","Snow"
"2017-11-01 15:00","2017","11","01","15:00","-2.3","","-4.5","","85","","2","","21","","3.2","","93.70","","","","-8","","Snow"
"2017-11-01 16:00","2017","11","01","16:00","-2.4","","-4.5","","86","","2","","23","","2.4","","93.81","","","","-9","","Snow"
"2017-11-01 17:00","2017","11","01","17:00","-2.5","","-4.1","","89","","2","","22","","2.4","","93.93","","","","-9","","Snow"
"2017-11-01 18:00","2017","11","01","18:00","-2.6","","-4.6","","86","","3","","18","","4.8","","94.07","","","","-8","","Snow"
"2017-11-01 19:00","2017","11","01","19:00","-3.1","","-5.4","","84","","2","","21","","19.3","","94.20","","","","-9","","Snow"
"2017-11-01 20:00","2017","11","01","20:00","-3.5","","-5.4","","87","","2","","16","","19.3","","94.31","","","","-9","","Snow"
"2017-11-01 21:00","2017","11","01","21:00","-3.6","","-5.7","","86","","2","","16","","24.1","","94.42","","","","-9","","Snow"
"2017-11-01 22:00","2017","11","01","22:00","-4.1","","-6.2","","85","","2","","13","","24.1","","94.50","","","","-9","","NA"
"2017-11-01 23:00","2017","11","01","23:00","-4.8","","-6.7","","86","","1","","13","","24.1","","94.62","","","","-10","","NA"
"2017-11-02 00:00","2017","11","02","00:00","-4.5","","-6.3","","87","","36","","12","","24.1","","94.65","","","","-9","","Cloudy"
"2017-11-02 01:00","2017","11","02","01:00","-3.8","","-6.1","","84","","35","","11","","24.1","","94.72","","","","-8","","NA"
"2017-11-02 02:00","2017","11","02","02:00","-4.1","","-5.5","","90","","32","","12","","24.1","","94.79","","","","-9","","NA"
"2017-11-02 03:00","2017","11","02","03:00","-4.7","","-6.0","","91","","33","","12","","24.1","","94.87","","","","-9","","Cloudy"
