"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-03-01 00:00","2017","03","01","00:00","-11.8","","-13.1","","90","","16","","3","","24.1","","94.61","","","","-14","","Snow"
"2017-03-01 01:00","2017","03","01","01:00","-12.8","","-14.3","","89","","21","","6","","24.1","","94.67","","","","-17","","Snow"
"2017-03-01 02:00","2017","03","01","02:00","-14.3","","-15.6","","90","","36","","1","","24.1","","94.72","","","","-15","","Snow"
"2017-03-01 03:00","2017","03","01","03:00","-13.9","","-15.3","","89","","26","","4","","24.1","","94.79","","","","-17","","Clear"
"2017-03-01 04:00","2017","03","01","04:00","-18.1","","-20.0","","85","","26","","8","","0.4","","94.82","","","","-24","","Freezing Fog"
"2017-03-01 05:00","2017","03","01","05:00","-16.9","","-18.6","","87","","36","","2","","0.4","","94.86","","","","-18","","Freezing Fog"
"2017-03-01 06:00","2017","03","01","06:00","-15.0","","-16.7","","87","","31","","5","","0.4","","94.87","","","","-19","","Freezing Fog"
"2017-03-01 07:00","2017","03","01","07:00","-16.5","","-18.5","","85","","22","","5","","0.4","","94.91","","","","-20","","Freezing Fog"
"2017-03-01 08:00","2017","03","01","08:00","-17.1","","-18.9","","86","","18","","5","","0.4","","94.96","","","","-21","","Freezing Fog"
"2017-03-01 09:00","2017","03","01","09:00","-16.0","","-17.7","","87","","11","","8","","4.8","","94.95","","","","-22","","Fog"
"2017-03-01 10:00","2017","03","01","10:00","-13.9","","-15.5","","88","","13","","10","","14.5","","94.98","","","","-20","","NA"
"2017-03-01 11:00","2017","03","01","11:00","-11.8","","-13.3","","89","","12","","8","","16.1","","95.01","","","","-17","","NA"
"2017-03-01 12:00","2017","03","01","12:00","-11.8","","-13.7","","86","","15","","13","","19.3","","95.03","","","","-18","","Mostly Cloudy"
"2017-03-01 13:00","2017","03","01","13:00","-10.8","","-13.6","","80","","14","","12","","19.3","","95.07","","","","-17","","NA"
"2017-03-01 14:00","2017","03","01","14:00","-8.8","","-12.0","","78","","14","","16","","19.3","","95.03","","","","-16","","NA"
"2017-03-01 15:00","2017","03","01","15:00","-7.7","","-11.7","","73","","14","","15","","24.1","","95.02","","","","-14","","Mostly Cloudy"
"2017-03-01 16:00","2017","03","01","16:00","-7.5","","-11.5","","73","","12","","16","","24.1","","95.05","","","","-14","","NA"
"2017-03-01 17:00","2017","03","01","17:00","-7.9","","-10.8","","80","","12","","17","","19.3","","95.12","","","","-15","","NA"
"2017-03-01 18:00","2017","03","01","18:00","-8.3","","-11.2","","80","","13","","17","","24.1","","95.14","","","","-15","","Mostly Cloudy"
"2017-03-01 19:00","2017","03","01","19:00","-9.2","","-11.6","","83","","11","","14","","19.3","","95.23","","","","-16","","NA"
"2017-03-01 20:00","2017","03","01","20:00","-9.2","","-11.7","","82","","11","","14","","24.1","","95.29","","","","-16","","NA"
"2017-03-01 21:00","2017","03","01","21:00","-10.1","","-12.5","","83","","13","","10","","24.1","","95.37","","","","-15","","Mostly Cloudy"
"2017-03-01 22:00","2017","03","01","22:00","-11.7","","-13.5","","87","","12","","13","","24.1","","95.42","","","","-18","","NA"
"2017-03-01 23:00","2017","03","01","23:00","-12.4","","-14.0","","88","","11","","9","","24.1","","95.52","","","","-18","","NA"
"2017-03-02 00:00","2017","03","02","00:00","-12.6","","-14.3","","87","","10","","11","","24.1","","95.60","","","","-19","","Clear"
"2017-03-02 01:00","2017","03","02","01:00","-13.1","","-14.4","","90","","13","","7","","24.1","","95.69","","","","-18","","NA"
"2017-03-02 02:00","2017","03","02","02:00","-13.1","","-14.4","","90","","1","","4","","24.1","","95.75","","","","-16","","NA"
"2017-03-02 03:00","2017","03","02","03:00","-12.7","","-14.4","","87","","12","","9","","24.1","","95.77","","","","-18","","Snow"
"2017-03-02 04:00","2017","03","02","04:00","-13.7","","-15.6","","86","","14","","9","","24.1","","95.82","","","","-19","","Snow"
"2017-03-02 05:00","2017","03","02","05:00","-13.5","","-15.2","","87","","28","","9","","16.1","","95.94","","","","-19","","Snow"
"2017-03-02 06:00","2017","03","02","06:00","-13.3","","-15.2","","86","","36","","1","","24.1","","95.97","","","","-14","","Snow"
"2017-03-02 07:00","2017","03","02","07:00","-13.7","","-15.4","","87","","1","","5","","16.1","","95.97","","","","-17","","Snow"
"2017-03-02 08:00","2017","03","02","08:00","-14.9","","-16.5","","88","","36","","2","","4.8","","96.04","","","","-16","","Snow"
"2017-03-02 09:00","2017","03","02","09:00","-14.2","","-15.8","","88","","25","","8","","19.3","","96.07","","","","-19","","Snow"
"2017-03-02 10:00","2017","03","02","10:00","-12.4","","-14.3","","86","","26","","8","","19.3","","96.10","","","","-17","","NA"
"2017-03-02 11:00","2017","03","02","11:00","-11.1","","-13.6","","82","","26","","8","","19.3","","96.12","","","","-16","","NA"
"2017-03-02 12:00","2017","03","02","12:00","-9.4","","-12.4","","79","","20","","4","","24.1","","96.11","","","","-12","","Mostly Cloudy"
"2017-03-02 13:00","2017","03","02","13:00","-8.5","","-12.5","","73","","26","","7","","16.1","","96.07","","","","-12","","Snow"
"2017-03-02 14:00","2017","03","02","14:00","-7.8","","-11.7","","74","","25","","10","","4.8","","96.01","","","","-13","","Snow"
"2017-03-02 15:00","2017","03","02","15:00","-7.2","","-11.1","","74","","23","","12","","16.1","","95.91","","","","-13","","Snow"
"2017-03-02 16:00","2017","03","02","16:00","-6.8","","-10.4","","76","","24","","14","","24.1","","95.88","","","","-13","","Snow"
"2017-03-02 17:00","2017","03","02","17:00","-6.6","","-10.5","","74","","23","","15","","24.1","","95.82","","","","-13","","NA"
"2017-03-02 18:00","2017","03","02","18:00","-7.2","","-10.9","","75","","19","","8","","24.1","","95.78","","","","-11","","Mainly Clear"
"2017-03-02 19:00","2017","03","02","19:00","-9.8","","-11.3","","89","","13","","18","","24.1","","95.70","","","","-17","","NA"
"2017-03-02 20:00","2017","03","02","20:00","-10.8","","-12.3","","89","","13","","22","","24.1","","95.62","","","","-19","","NA"
"2017-03-02 21:00","2017","03","02","21:00","-11.8","","-13.3","","89","","13","","21","","24.1","","95.55","","","","-20","","Mainly Clear"
"2017-03-02 22:00","2017","03","02","22:00","-12.1","","-13.4","","90","","13","","22","","24.1","","95.49","","","","-21","","NA"
"2017-03-02 23:00","2017","03","02","23:00","-11.9","","-13.5","","88","","13","","22","","24.1","","95.42","","","","-21","","NA"
"2017-03-03 00:00","2017","03","03","00:00","-12.2","","-13.7","","89","","13","","29","","24.1","","95.33","","","","-22","","Mostly Cloudy"
"2017-03-03 01:00","2017","03","03","01:00","-12.1","","-13.4","","90","","13","","26","","24.1","","95.24","","","","-22","","NA"
"2017-03-03 02:00","2017","03","03","02:00","-10.8","","-12.3","","89","","13","","30","","24.1","","95.19","","","","-21","","NA"
"2017-03-03 03:00","2017","03","03","03:00","-10.5","","-12.1","","88","","13","","25","","24.1","","95.08","","","","-19","","Mostly Cloudy"
