"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","-14.9","","-16.9","","85","","33","","12","","24.1","","94.03","","","","-22","","Clear"
"2017-01-01 01:00","2017","01","01","01:00","-18.4","","-19.8","","89","","31","","16","","24.1","","94.10","","","","-27","","NA"
"2017-01-01 02:00","2017","01","01","02:00","-18.5","","-19.9","","89","","27","","10","","24.1","","94.22","","","","-25","","NA"
"2017-01-01 03:00","2017","01","01","03:00","-20.4","","-22.2","","86","","32","","10","","24.1","","94.30","","","","-28","","Mainly Clear"
"2017-01-01 04:00","2017","01","01","04:00","-19.9","","-21.5","","87","","31","","10","","24.1","","94.41","","","","-27","","NA"
"2017-01-01 05:00","2017","01","01","05:00","-17.3","","-19.1","","86","","31","","10","","24.1","","94.47","","","","-24","","Snow"
"2017-01-01 06:00","2017","01","01","06:00","-20.2","","-22.4","","83","","34","","13","","24.1","","94.53","","","","-29","","Mostly Cloudy"
"2017-01-01 07:00","2017","01","01","07:00","-21.1","","-23.1","","84","","33","","15","","24.1","","94.60","","","","-30","","NA"
"2017-01-01 08:00","2017","01","01","08:00","-23.4","","-26.0","","80","","32","","11","","24.1","","94.71","","","","-32","","NA"
"2017-01-01 09:00","2017","01","01","09:00","-24.2","","-26.7","","80","","35","","13","","24.1","","94.71","","","","-34","","Mainly Clear"
"2017-01-01 10:00","2017","01","01","10:00","-23.0","","-25.6","","80","","30","","9","","24.1","","94.79","","","","-30","","NA"
"2017-01-01 11:00","2017","01","01","11:00","-25.0","","-27.7","","79","","24","","5","","24.1","","94.85","","","","-30","","NA"
"2017-01-01 12:00","2017","01","01","12:00","-23.7","","-26.1","","81","","25","","10","","24.1","","94.96","","","","-32","","Mainly Clear"
"2017-01-01 13:00","2017","01","01","13:00","-20.2","","-22.4","","83","","26","","9","","24.1","","95.01","","","","-27","","NA"
"2017-01-01 14:00","2017","01","01","14:00","-18.9","","-21.0","","84","","24","","4","","24.1","","94.96","","","","-22","","NA"
"2017-01-01 15:00","2017","01","01","15:00","-18.6","","-20.7","","84","","29","","10","","24.1","","94.99","","","","-26","","Mostly Cloudy"
"2017-01-01 16:00","2017","01","01","16:00","-19.0","","-21.1","","84","","30","","4","","24.1","","94.98","","","","-22","","NA"
"2017-01-01 17:00","2017","01","01","17:00","-19.5","","-21.6","","84","","21","","9","","24.1","","95.08","","","","-26","","NA"
"2017-01-01 18:00","2017","01","01","18:00","-18.4","","-20.3","","85","","32","","3","","24.1","","95.07","","","","-21","","Mostly Cloudy"
"2017-01-01 19:00","2017","01","01","19:00","-17.9","","-19.8","","85","","1","","5","","24.1","","95.11","","","","-22","","NA"
"2017-01-01 20:00","2017","01","01","20:00","-17.5","","-19.3","","86","","33","","9","","24.1","","95.14","","","","-24","","NA"
"2017-01-01 21:00","2017","01","01","21:00","-17.1","","-18.9","","86","","28","","8","","24.1","","95.20","","","","-23","","Cloudy"
"2017-01-01 22:00","2017","01","01","22:00","-17.4","","-19.2","","86","","32","","7","","24.1","","95.23","","","","-23","","NA"
"2017-01-01 23:00","2017","01","01","23:00","-17.2","","-19.0","","86","","31","","5","","24.1","","95.31","","","","-21","","NA"
"2017-01-02 00:00","2017","01","02","00:00","-16.5","","-18.3","","86","","31","","5","","24.1","","95.36","","","","-20","","Cloudy"
"2017-01-02 01:00","2017","01","02","01:00","-16.9","","-18.9","","85","","35","","4","","24.1","","95.39","","","","-20","","NA"
"2017-01-02 02:00","2017","01","02","02:00","-15.9","","-17.6","","87","","3","","9","","24.1","","95.39","","","","-22","","NA"
"2017-01-02 03:00","2017","01","02","03:00","-15.8","","-17.6","","86","","36","","6","","24.1","","95.46","","","","-20","","Cloudy"
"2017-01-02 04:00","2017","01","02","04:00","-17.6","","-19.6","","85","","35","","10","","24.1","","95.48","","","","-24","","NA"
"2017-01-02 05:00","2017","01","02","05:00","-19.1","","-21.2","","84","","1","","8","","24.1","","95.49","","","","-25","","NA"
"2017-01-02 06:00","2017","01","02","06:00","-20.2","","-22.4","","83","","34","","11","","24.1","","95.58","","","","-28","","Mostly Cloudy"
"2017-01-02 07:00","2017","01","02","07:00","-21.1","","-23.4","","82","","33","","13","","24.1","","95.61","","","","-30","","NA"
"2017-01-02 08:00","2017","01","02","08:00","-22.2","","-24.6","","81","","33","","8","","24.1","","95.67","","","","-29","","NA"
"2017-01-02 09:00","2017","01","02","09:00","-24.1","","-26.6","","80","","33","","13","","24.1","","95.75","","","","-33","","Mostly Cloudy"
"2017-01-02 10:00","2017","01","02","10:00","-23.2","","-25.8","","80","","35","","13","","24.1","","95.79","","","","-32","","NA"
"2017-01-02 11:00","2017","01","02","11:00","-24.6","","-27.3","","79","","34","","9","","24.1","","95.88","","","","-32","","NA"
"2017-01-02 12:00","2017","01","02","12:00","-23.1","","-25.5","","81","","33","","9","","24.1","","95.86","","","","-30","","Mostly Cloudy"
"2017-01-02 13:00","2017","01","02","13:00","-23.2","","-25.8","","80","","31","","16","","24.1","","95.87","","","","-33","","NA"
"2017-01-02 14:00","2017","01","02","14:00","-21.3","","-23.6","","82","","34","","12","","24.1","","95.91","","","","-30","","NA"
"2017-01-02 15:00","2017","01","02","15:00","-21.3","","-23.8","","81","","32","","17","","24.1","","95.96","","","","-31","","Mostly Cloudy"
"2017-01-02 16:00","2017","01","02","16:00","-20.9","","-23.2","","82","","33","","14","","24.1","","95.97","","","","-30","","NA"
"2017-01-02 17:00","2017","01","02","17:00","-21.0","","-23.3","","82","","33","","17","","24.1","","95.99","","","","-31","","NA"
"2017-01-02 18:00","2017","01","02","18:00","-21.2","","-23.5","","82","","33","","17","","24.1","","96.05","","","","-31","","Cloudy"
"2017-01-02 19:00","2017","01","02","19:00","-21.6","","-24.0","","81","","32","","9","","24.1","","96.09","","","","-29","","NA"
"2017-01-02 20:00","2017","01","02","20:00","-21.9","","-24.3","","81","","32","","14","","24.1","","96.10","","","","-31","","NA"
"2017-01-02 21:00","2017","01","02","21:00","-22.4","","-24.8","","81","","30","","10","","24.1","","96.08","","","","-30","","Cloudy"
