"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-02-01 00:00","2017","02","01","00:00","-20.0","","-22.5","","81","","31","","18","","24.1","","95.59","","","","-30","","Clear"
"2017-02-01 01:00","2017","02","01","01:00","-20.0","","-22.9","","78","","31","","17","","24.1","","95.64","","","","-30","","NA"
"2017-02-01 02:00","2017","02","01","02:00","-21.3","","-23.5","","83","","29","","13","","24.1","","95.63","","","","-30","","NA"
"2017-02-01 03:00","2017","02","01","03:00","-20.0","","-22.5","","81","","28","","22","","24.1","","95.62","","","","-31","","Clear"
"2017-02-01 04:00","2017","02","01","04:00","-20.6","","-23.1","","81","","29","","16","","24.1","","95.60","","","","-30","","NA"
"2017-02-01 05:00","2017","02","01","05:00","-19.9","","-22.2","","82","","28","","22","","24.1","","95.57","","","","-31","","NA"
"2017-02-01 06:00","2017","02","01","06:00","-19.0","","-21.1","","84","","27","","24","","24.1","","95.57","","","","-30","","Mainly Clear"
"2017-02-01 07:00","2017","02","01","07:00","-17.1","","-19.3","","83","","28","","31","","24.1","","95.57","","","","-29","","NA"
"2017-02-01 08:00","2017","02","01","08:00","-15.1","","-17.5","","82","","29","","33","","24.1","","95.59","","","","-27","","Snow"
"2017-02-01 09:00","2017","02","01","09:00","-14.6","","-17.0","","82","","29","","29","","12.9","","95.61","","","","-25","","Snow,Blowing Snow"
"2017-02-01 10:00","2017","02","01","10:00","-14.1","","-16.7","","81","","30","","32","","19.3","","95.63","","","","-25","","Snow,Blowing Snow"
"2017-02-01 11:00","2017","02","01","11:00","-13.1","","-15.7","","81","","30","","34","","6.4","","95.67","","","","-24","","Snow,Blowing Snow"
"2017-02-01 12:00","2017","02","01","12:00","-12.6","","-15.2","","81","","31","","31","","4.0","","95.72","","","","-23","","Snow,Blowing Snow"
"2017-02-01 13:00","2017","02","01","13:00","-12.4","","-15.3","","79","","31","","40","","2.4","","95.73","","","","-24","","Snow,Blowing Snow"
"2017-02-01 14:00","2017","02","01","14:00","-12.5","","-16.1","","75","","33","","35","","8.1","","95.74","","","","-23","","Snow,Blowing Snow"
"2017-02-01 15:00","2017","02","01","15:00","-12.5","","-16.2","","74","","31","","34","","8.1","","95.76","","","","-23","","Snow,Blowing Snow"
"2017-02-01 16:00","2017","02","01","16:00","-12.3","","-15.9","","75","","31","","35","","24.1","","95.80","","","","-23","","Snow,Blowing Snow"
"2017-02-01 17:00","2017","02","01","17:00","-11.8","","-16.4","","69","","31","","34","","24.1","","95.84","","","","-22","","NA"
"2017-02-01 18:00","2017","02","01","18:00","-12.2","","-17.5","","65","","32","","36","","24.1","","95.89","","","","-23","","Mostly Cloudy"
"2017-02-01 19:00","2017","02","01","19:00","-12.9","","-17.1","","71","","32","","35","","24.1","","95.94","","","","-24","","Snow Showers"
"2017-02-01 20:00","2017","02","01","20:00","-14.5","","-18.7","","71","","31","","26","","24.1","","95.99","","","","-25","","NA"
