"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-06-01 00:00","2017","06","01","00:00","14.1","","0.8","","40","","13","","27","","24.1","","94.41","","","","","","Mainly Clear"
"2017-06-01 01:00","2017","06","01","01:00","12.7","","1.1","","45","","13","","24","","24.1","","94.36","","","","","","NA"
"2017-06-01 02:00","2017","06","01","02:00","11.7","","1.7","","50","","13","","25","","24.1","","94.32","","","","","","NA"
"2017-06-01 03:00","2017","06","01","03:00","11.1","","1.7","","52","","13","","23","","24.1","","94.30","","","","","","Mainly Clear"
"2017-06-01 04:00","2017","06","01","04:00","10.6","","1.7","","54","","12","","22","","24.1","","94.22","","","","","","NA"
"2017-06-01 05:00","2017","06","01","05:00","10.4","","2.0","","56","","12","","23","","24.1","","94.21","","","","","","NA"
"2017-06-01 06:00","2017","06","01","06:00","11.0","","2.9","","57","","12","","21","","24.1","","94.26","","","","","","Mostly Cloudy"
"2017-06-01 07:00","2017","06","01","07:00","12.9","","3.9","","54","","12","","21","","24.1","","94.25","","","","","","NA"
"2017-06-01 08:00","2017","06","01","08:00","17.3","","5.4","","45","","13","","26","","24.1","","94.24","","","","","","NA"
"2017-06-01 09:00","2017","06","01","09:00","21.4","","7.1","","39","","13","","22","","24.1","","94.17","","","","","","Clear"
"2017-06-01 10:00","2017","06","01","10:00","25.8","","8.2","","32","","13","","26","","24.1","","94.13","","26","","","","NA"
"2017-06-01 11:00","2017","06","01","11:00","28.7","","4.9","","22","","17","","35","","24.1","","94.05","","28","","","","NA"
"2017-06-01 12:00","2017","06","01","12:00","29.8","","4.5","","20","","15","","30","","24.1","","94.01","","29","","","","Mainly Clear"
"2017-06-01 13:00","2017","06","01","13:00","31.0","","5.9","","20","","18","","30","","24.1","","93.97","","31","","","","NA"
"2017-06-01 14:00","2017","06","01","14:00","32.5","","5.5","","18","","16","","32","","24.1","","93.93","","32","","","","NA"
"2017-06-01 15:00","2017","06","01","15:00","32.2","","5.0","","18","","18","","23","","24.1","","93.89","","31","","","","Mainly Clear"
"2017-06-01 16:00","2017","06","01","16:00","32.8","","6.1","","18","","14","","25","","24.1","","93.84","","32","","","","NA"
"2017-06-01 17:00","2017","06","01","17:00","32.7","","6.3","","19","","19","","18","","24.1","","93.78","","32","","","","NA"
"2017-06-01 18:00","2017","06","01","18:00","30.8","","6.0","","21","","17","","18","","24.1","","93.74","","30","","","","Mostly Cloudy"
"2017-06-01 19:00","2017","06","01","19:00","28.4","","6.0","","24","","17","","15","","24.1","","93.72","","28","","","","NA"
"2017-06-01 20:00","2017","06","01","20:00","29.5","","4.8","","20","","36","","12","","24.1","","93.75","","29","","","","Thunderstorms"
"2017-06-01 21:00","2017","06","01","21:00","21.8","","13.1","","57","","7","","21","","24.1","","93.77","","25","","","","Mostly Cloudy"
"2017-06-01 22:00","2017","06","01","22:00","22.5","","11.1","","48","","8","","21","","24.1","","93.75","","","","","","NA"
"2017-06-01 23:00","2017","06","01","23:00","22.1","","8.6","","41","","12","","28","","24.1","","93.65","","","","","","NA"
"2017-06-02 00:00","2017","06","02","00:00","22.2","","8.2","","40","","33","","5","","24.1","","93.65","","","","","","Thunderstorms,Rain Showers"
"2017-06-02 01:00","2017","06","02","01:00","20.6","","11.6","","56","","25","","6","","24.1","","93.94","","","","","","Thunderstorms,Rain Showers"
"2017-06-02 02:00","2017","06","02","02:00","18.1","","13.9","","76","","28","","25","","24.1","","93.94","","","","","","Rain Showers"
"2017-06-02 03:00","2017","06","02","03:00","16.9","","14.0","","83","","35","","14","","24.1","","93.85","","","","","","Cloudy"
"2017-06-02 04:00","2017","06","02","04:00","15.2","","13.3","","88","","36","","3","","24.1","","93.75","","","","","","NA"
"2017-06-02 05:00","2017","06","02","05:00","13.5","","12.8","","96","","21","","12","","24.1","","93.73","","","","","","NA"
"2017-06-02 06:00","2017","06","02","06:00","14.1","","13.2","","94","","21","","14","","24.1","","93.83","","","","","","Mostly Cloudy"
"2017-06-02 07:00","2017","06","02","07:00","15.6","","13.9","","90","","22","","10","","24.1","","93.88","","","","","","NA"
"2017-06-02 08:00","2017","06","02","08:00","19.4","","15.2","","76","","28","","24","","24.1","","93.94","","","","","","NA"
"2017-06-02 09:00","2017","06","02","09:00","20.6","","15.0","","70","","25","","22","","24.1","","94.00","","25","","","","Mostly Cloudy"
"2017-06-02 10:00","2017","06","02","10:00","22.6","","14.8","","61","","27","","21","","24.1","","93.95","","26","","","","NA"
"2017-06-02 11:00","2017","06","02","11:00","23.7","","14.1","","54","","25","","23","","24.1","","93.95","","27","","","","NA"
"2017-06-02 12:00","2017","06","02","12:00","24.8","","13.4","","49","","24","","24","","24.1","","93.96","","28","","","","Mostly Cloudy"
"2017-06-02 13:00","2017","06","02","13:00","25.1","","10.7","","40","","27","","28","","24.1","","93.99","","27","","","","NA"
"2017-06-02 14:00","2017","06","02","14:00","25.5","","9.3","","35","","25","","30","","24.1","","93.97","","26","","","","NA"
"2017-06-02 15:00","2017","06","02","15:00","25.6","","7.9","","32","","25","","31","","24.1","","93.95","","26","","","","Mostly Cloudy"
"2017-06-02 16:00","2017","06","02","16:00","26.2","","8.2","","31","","26","","29","","24.1","","93.89","","27","","","","NA"
"2017-06-02 17:00","2017","06","02","17:00","26.6","","9.9","","35","","26","","39","","24.1","","93.89","","28","","","","NA"
"2017-06-02 18:00","2017","06","02","18:00","26.2","","9.6","","35","","27","","37","","24.1","","93.92","","27","","","","Mainly Clear"
"2017-06-02 19:00","2017","06","02","19:00","24.4","","8.6","","36","","27","","35","","24.1","","93.95","","25","","","","NA"
"2017-06-02 20:00","2017","06","02","20:00","23.1","","8.0","","37","","30","","39","","24.1","","94.00","","","","","","NA"
"2017-06-02 21:00","2017","06","02","21:00","20.3","","8.1","","45","","28","","20","","24.1","","94.05","","","","","","Mainly Clear"
"2017-06-02 22:00","2017","06","02","22:00","18.4","","7.9","","50","","29","","16","","24.1","","94.13","","","","","","NA"
"2017-06-02 23:00","2017","06","02","23:00","14.1","","7.1","","63","","30","","13","","24.1","","94.24","","","","","","NA"
"2017-06-03 00:00","2017","06","03","00:00","14.0","","9.8","","76","","33","","17","","24.1","","94.31","","","","","","Mainly Clear"
"2017-06-03 01:00","2017","06","03","01:00","14.3","","9.6","","73","","29","","35","","24.1","","94.44","","","","","","NA"
"2017-06-03 02:00","2017","06","03","02:00","12.3","","9.3","","82","","28","","14","","24.1","","94.37","","","","","","NA"
"2017-06-03 03:00","2017","06","03","03:00","10.1","","8.9","","93","","26","","14","","24.1","","94.38","","","","","","Mostly Cloudy"
"2017-06-03 04:00","2017","06","03","04:00","9.5","","7.9","","90","","24","","18","","24.1","","94.44","","","","","","NA"
"2017-06-03 05:00","2017","06","03","05:00","9.5","","7.5","","87","","26","","20","","24.1","","94.49","","","","","","NA"
"2017-06-03 06:00","2017","06","03","06:00","11.5","","8.0","","79","","28","","33","","24.1","","94.60","","","","","","Clear"
"2017-06-03 07:00","2017","06","03","07:00","13.5","","8.4","","71","","28","","37","","24.1","","94.61","","","","","","NA"
"2017-06-03 08:00","2017","06","03","08:00","16.5","","8.7","","60","","28","","36","","24.1","","94.68","","","","","","NA"
"2017-06-03 09:00","2017","06","03","09:00","18.8","","9.0","","53","","28","","32","","24.1","","94.68","","","","","","Clear"
"2017-06-03 10:00","2017","06","03","10:00","20.4","","7.0","","41","","29","","47","","24.1","","94.63","","","","","","NA"
"2017-06-03 11:00","2017","06","03","11:00","22.2","","3.8","","30","","29","","46","","24.1","","94.63","","","","","","NA"
"2017-06-03 12:00","2017","06","03","12:00","23.5","","3.5","","27","","30","","49","","24.1","","94.64","","","","","","Clear"
